reports,event_date
198,11/21/2019
208,11/22/2019
219,11/23/2019
214,11/24/2019
221,11/25/2019
214,11/26/2019
215,11/27/2019
207,11/28/2019
206,11/29/2019
220,11/30/2019
214,12/1/2019
181,12/2/2019
210,12/3/2019
186,12/4/2019
196,12/5/2019
201,12/6/2019
215,12/7/2019
196,12/8/2019
196,12/9/2019
191,12/10/2019
186,12/11/2019
181,12/12/2019
201,12/13/2019
186,12/14/2019
181,12/15/2019
167,12/16/2019
167,12/17/2019
155,12/18/2019
179,12/19/2019
219,12/20/2019
177,12/21/2019
167,12/22/2019
167,12/23/2019
208,12/24/2019
216,12/25/2019
224,12/26/2019
196,12/27/2019
197,12/28/2019
189,12/29/2019
179,12/30/2019
280,12/31/2019
302,1/1/2020
230,1/2/2020
209,1/3/2020
202,1/4/2020
215,1/5/2020
205,1/6/2020
170,1/7/2020
191,1/8/2020
180,1/9/2020
191,1/10/2020
169,1/11/2020
183,1/12/2020
166,1/13/2020
166,1/14/2020
180,1/15/2020
167,1/16/2020
161,1/17/2020
135,1/18/2020
162,1/19/2020
173,1/20/2020
159,1/21/2020
133,1/22/2020
127,1/23/2020
161,1/24/2020
180,1/25/2020
160,1/26/2020
162,1/27/2020
142,1/28/2020
147,1/29/2020
149,1/30/2020
148,1/31/2020
203,2/1/2020
186,2/2/2020
175,2/3/2020
147,2/4/2020
157,2/5/2020
135,2/6/2020
138,2/7/2020
162,2/8/2020
141,2/9/2020
133,2/10/2020
105,2/11/2020
126,2/12/2020
122,2/13/2020
161,2/14/2020
183,2/15/2020
164,2/16/2020
185,2/17/2020
153,2/18/2020
130,2/19/2020
127,2/20/2020
156,2/21/2020
157,2/22/2020
166,2/23/2020
120,2/24/2020
163,2/25/2020
128,2/26/2020
182,2/27/2020
168,2/28/2020
146,2/29/2020
212,3/1/2020
159,3/2/2020
158,3/3/2020
173,3/4/2020
161,3/5/2020
152,3/6/2020
197,3/7/2020
193,3/8/2020
169,3/9/2020
180,3/10/2020
160,3/11/2020
159,3/12/2020
192,3/13/2020
144,3/14/2020
215,3/15/2020
184,3/16/2020
170,3/17/2020
170,3/18/2020
149,3/19/2020
191,3/20/2020
179,3/21/2020
174,3/22/2020
145,3/23/2020
139,3/24/2020
169,3/25/2020
163,3/26/2020
182,3/27/2020
164,3/28/2020
157,3/29/2020
171,3/30/2020
171,3/31/2020
191,4/1/2020
145,4/2/2020
175,4/3/2020
206,4/4/2020
153,4/5/2020
183,4/6/2020
177,4/7/2020
175,4/8/2020
175,4/9/2020
168,4/10/2020
216,4/11/2020
181,4/12/2020
176,4/13/2020
158,4/14/2020
179,4/15/2020
146,4/16/2020
157,4/17/2020
172,4/18/2020
175,4/19/2020
180,4/20/2020
175,4/21/2020
188,4/22/2020
163,4/23/2020
197,4/24/2020
205,4/25/2020
162,4/26/2020
167,4/27/2020
177,4/28/2020
161,4/29/2020
152,4/30/2020
212,5/1/2020
238,5/2/2020
210,5/3/2020
219,5/4/2020
169,5/5/2020
166,5/6/2020
218,5/7/2020
177,5/8/2020
183,5/9/2020
203,5/10/2020
172,5/11/2020
178,5/12/2020
199,5/13/2020
164,5/14/2020
198,5/15/2020
220,5/16/2020
221,5/17/2020
195,5/18/2020
184,5/19/2020
212,5/20/2020
175,5/21/2020
250,5/22/2020
239,5/23/2020
234,5/24/2020
240,5/25/2020
209,5/26/2020
204,5/27/2020
211,5/28/2020
235,5/29/2020
233,5/30/2020
258,5/31/2020
272,6/1/2020
193,6/2/2020
212,6/3/2020
194,6/4/2020
239,6/5/2020
255,6/6/2020
242,6/7/2020
229,6/8/2020
217,6/9/2020
214,6/10/2020
209,6/11/2020
