reports,event_date
24,11/21/2019
22,11/22/2019
20,11/23/2019
16,11/24/2019
12,11/25/2019
27,11/26/2019
30,11/27/2019
22,11/28/2019
21,11/29/2019
21,11/30/2019
17,12/1/2019
16,12/2/2019
21,12/3/2019
20,12/4/2019
27,12/5/2019
22,12/6/2019
24,12/7/2019
15,12/8/2019
20,12/9/2019
31,12/10/2019
10,12/11/2019
20,12/12/2019
19,12/13/2019
8,12/14/2019
24,12/15/2019
13,12/16/2019
21,12/17/2019
10,12/18/2019
19,12/19/2019
31,12/20/2019
21,12/21/2019
15,12/22/2019
19,12/23/2019
17,12/24/2019
23,12/25/2019
23,12/26/2019
26,12/27/2019
26,12/28/2019
17,12/29/2019
23,12/30/2019
15,12/31/2019
30,1/1/2020
13,1/2/2020
13,1/3/2020
15,1/4/2020
18,1/5/2020
21,1/6/2020
16,1/7/2020
17,1/8/2020
26,1/9/2020
24,1/10/2020
25,1/11/2020
35,1/12/2020
24,1/13/2020
14,1/14/2020
19,1/15/2020
26,1/16/2020
21,1/17/2020
10,1/18/2020
21,1/19/2020
23,1/20/2020
23,1/21/2020
16,1/22/2020
17,1/23/2020
26,1/24/2020
16,1/25/2020
14,1/26/2020
11,1/27/2020
15,1/28/2020
24,1/29/2020
18,1/30/2020
15,1/31/2020
20,2/1/2020
19,2/2/2020
18,2/3/2020
13,2/4/2020
18,2/5/2020
15,2/6/2020
13,2/7/2020
16,2/8/2020
15,2/9/2020
15,2/10/2020
20,2/11/2020
9,2/12/2020
9,2/13/2020
19,2/14/2020
25,2/15/2020
21,2/16/2020
33,2/17/2020
26,2/18/2020
15,2/19/2020
13,2/20/2020
23,2/21/2020
15,2/22/2020
16,2/23/2020
13,2/24/2020
8,2/25/2020
10,2/26/2020
23,2/27/2020
11,2/28/2020
17,2/29/2020
23,3/1/2020
19,3/2/2020
19,3/3/2020
24,3/4/2020
24,3/5/2020
17,3/6/2020
33,3/7/2020
25,3/8/2020
23,3/9/2020
22,3/10/2020
16,3/11/2020
23,3/12/2020
32,3/13/2020
10,3/14/2020
13,3/15/2020
23,3/16/2020
24,3/17/2020
10,3/18/2020
23,3/19/2020
39,3/20/2020
25,3/21/2020
22,3/22/2020
15,3/23/2020
19,3/24/2020
21,3/25/2020
18,3/26/2020
15,3/27/2020
21,3/28/2020
22,3/29/2020
20,3/30/2020
21,3/31/2020
28,4/1/2020
17,4/2/2020
23,4/3/2020
30,4/4/2020
18,4/5/2020
26,4/6/2020
31,4/7/2020
29,4/8/2020
18,4/9/2020
26,4/10/2020
35,4/11/2020
24,4/12/2020
18,4/13/2020
17,4/14/2020
21,4/15/2020
14,4/16/2020
14,4/17/2020
22,4/18/2020
23,4/19/2020
20,4/20/2020
31,4/21/2020
18,4/22/2020
24,4/23/2020
22,4/24/2020
25,4/25/2020
14,4/26/2020
27,4/27/2020
22,4/28/2020
19,4/29/2020
17,4/30/2020
33,5/1/2020
28,5/2/2020
28,5/3/2020
24,5/4/2020
27,5/5/2020
17,5/6/2020
36,5/7/2020
10,5/8/2020
24,5/9/2020
23,5/10/2020
18,5/11/2020
23,5/12/2020
29,5/13/2020
25,5/14/2020
18,5/15/2020
33,5/16/2020
36,5/17/2020
